Code,Content,Cubes,Information
42121,Monatliche Produktionserhebung im Verarb. Gewerbe,1,true
42131,Vierteljährliche Produktionserhebung i.Verarb.Gew.,18,true
42151,Indizes des Auftragseingangs im Verarb. Gewerbe,5,true
42152,Indizes des Umsatzes im Verarbeitenden Gewerbe,4,true
42153,Indizes der Produktion im Verarbeitenden Gewerbe,4,true
42154,Indizes der Arbeitsproduktivität im Verarb.Gewerbe,2,true
42155,Indizes des Auftragsbestandes im Verarb. Gewerbe,4,true
42191,Indizes aus der Lkw-Mauterhebung,4,false
42231,"Investitionserhebung im Verarb. Gewerbe, Bergbau",9,true
42241,Material- und Wareneingang im Verarb. Gewerbe,10,true
42251,"Kostenstrukturerhebung im Verarb. Gewerbe, Bergbau",12,true
42252,Strukturerhebung für kl. Unternehmen i.Verarb.Gew.,2,true
42271,Jahresbericht für Betriebe im Verarb. Gewerbe,14,true
42311,Eisen- und Stahlstatistik,10,true
42321,Düngemittelstatistik,12,true
42341,Holzbearbeitungsstatistik,4,true
43111,Monatsbericht: Energie- und Wasserversorgung,6,true
43211,Investitionserhebung: Energie- u. Wasserversorgung,1,true
43213,Invest. d.Erdgas-/Erdölgas-Untern.in Gasversorgung,1,true
43221,Kostenstrukturerhebung: Energie-u.Wasserversorgung,1,true
43311,Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung,4,true
43312,Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern,4,true
43321,Monatserhebung über die Gasversorgung,1,true
43331,Erhebung über Stromabsatz und Erlöse,1,true
43341,Erhebung über Gasabsatz und Erlöse,2,true
43351,Erh.ü. Elektrizitäts- u.Wärmeerzeug. i.Verarb.Gew.,8,true
43381,"Erh. über Gewinnung, Verwendung, Abgabe v. Klärgas",1,true
43391,Erhebung über die Abgabe von Flüssiggas,1,true
43411,Erhebung über Erzeugung und Verwendung von Wärme,1,true
43421,Erhebung über Geothermie,1,true
43511,Erhebung über die Einfuhr von Kohle,2,true
43521,Erhebung über Biotreibstoffe,1,true
43531,Energieverwendung der Betriebe im Verarb. Gewerbe,5,true
44111,Monatsbericht im Bauhauptgewerbe,12,true
44131,Vierteljahreserhebung im Ausbaugewerbe,1,true
44141,Statistik über den Auftragsbestand im Bauhauptgew.,2,true
44151,Konjunkturstatistik im Bauhauptgewerbe,1,true
44152,Konjunkturstatistik im Ausbaugewerbe,2,true
44211,Investitionserhebung im Baugewerbe,4,true
44231,Ergänzungserhebung im Bauhauptgewerbe,1,true
44241,Jährl. Erhebung im Ausbaugewerbe u.bei Bauträgern,1,true
44252,Strukturerhebung f.kleine Unternehmen i.Baugewerbe,1,true
44253,Kostenstrukturerhebung im Baugewerbe,2,true
45211,Monatsstatistik Großhandel und Handelsvermittlung,17,true
45212,Monatsstatistik im Einzelhandel,17,true
45213,Monatsstatistik im Gastgewerbe,17,true
45214,"Monatsstatistik im Kfz-Handel,Instandh.,Reparatur",17,true
45341,Jahresstatistik im Handel,16,true
45342,Jahresstatistik im Gastgewerbe,8,true
45412,Monatserhebung im Tourismus,17,true
45413,Statistik über die touristische Nachfrage,10,true
46131,Güterverkehrsstatistik der Eisenbahn,25,true
46132,Jährliche Güterverkehrsstatistik der Eisenbahn,7,true
46161,Schieneninfrastrukturstatistik,4,true
46181,Personenverkehr mit Bussen und Bahnen,11,true
46231,Straßengüterverkehrsstatistik,4,true
46241,Statistik der Straßenverkehrsunfälle,19,true
46251,Statistik des Kraftfahrzeug- und Anhängerbestandes,20,true
46271,Statistik der Straßen des überörtlichen Verkehrs,1,true
46311,Unternehmensstatistik der Binnenschifffahrt,5,true
46321,Güterverkehrsstatistik der Binnenschifffahrt,27,true
46331,Seeverkehrsstatistik,32,true
46411,Unternehmensstatistik im Luftverkehr,4,true
46421,Verkehrsleistungsstatistik im Luftverkehr,27,true
46911,Rohrfernleitungsstatistik,1,true
47311,"Statistik d.Versicherungen,Pensionskassen u.-fonds",1,true
47414,Konjunkturstatistik im Dienstleistungsbereich,10,true
47415,Strukturerhebung im Dienstleistungsbereich,161,true
48112,Bereichsübergreifende Unternehmensstatistik,5,true
48121,Statistik für kleine und mittlere Unternehmen,16,true
48131,Statistik über auslandskontrollierte Unternehmen,4,true
49911,Fleischuntersuchungsstatistik,21,true
51000,Außenhandel,79,true
52111,Unternehmensregister-System (URS),18,true
52311,Gewerbeanzeigenstatistik,2,true
52411,Statistik über beantragte Insolvenzverfahren,49,true
52551,Kostenstrukturstatistik in sonstigen DL-Bereichen,15,true
52571,Kostenstrukturstatistik im medizinischen Bereich,7,true
52911,Nutzung v.Informations-u.Kommunikationstech.i.Unt.,4,true
53111,Handwerkszählung,19,true
53211,Vierteljährliche Handwerksberichterstattung,8,true
61111,Verbraucherpreisindex für Deutschland,22,true
61121,Harmonisierter Verbraucherpreisindex,12,true
61131,Index der Einzelhandelspreise,2,false
61211,Index der Erzeugerpreise landwirtschaftl. Produkte,3,true
61221,Index der Einkaufspreise landwirt. Betriebsmittel,3,true
61231,Erzeugerpreisindex der Produkte des Holzeinschlags,3,true
61241,Index der Erzeugerpreise gewerblicher Produkte,18,true
61243,Durchschnittspreise für Strom und Gas,21,true
61261,Preisindizes für die Bauwirtschaft,16,true
61262,Preisindizes für Wohnimmobilien,4,false
61281,Index der Großhandelsverkaufspreise,6,true
61311,Erzeugerpreisindizes für Dienstleistungen,22,false
61351,"Verbraucherpreisindizes Verkehr, Post, Telekomm.",22,true
61411,Index der Einfuhrpreise,18,true
61421,Index der Ausfuhrpreise,18,true
61511,Statistik der Kaufwerte für Bauland,65,true
61521,Kaufwerte für landwirtschaftliche Grundstücke,14,true
61611,Internationaler Vergleich der Verbraucherpreise,2,true
62111,Verdienststrukturerhebung,56,true
62221,Vj. Index der Tarifverdienste und Arbeitszeiten,4,true
62231,Monatl. Index der Tarifverdienste u. Arbeitszeiten,2,true
62311,Verdiensterhebung in der Landwirtschaft,4,true
62321,Vierteljährliche Verdiensterhebung,8,true
62361,Verdiensterhebung,146,true
62411,Arbeitskostenerhebung,24,true
62421,Arbeitskostenindex,2,true
62431,Jahresschätzung Arbeitskosten,1,true
63111,Laufende Wirtschaftsrechnungen: Allgemeine Angaben,26,true
63121,Laufende Wirtschaftsrechnungen: Haushaltsbuch,26,true
63211,Einkommens- u.Verbrauchsstichproben: Allg. Angaben,8,true
63221,Einkommens- u.Verbrauchsstichproben: Haushaltsbuch,12,true
63231,Einkommens- u.Verbrauchsstichproben: Feinanschr.,8,true
63511,Überschuldungsstatistik,105,true
71141,Rechnungsergebnisse d.öffentlichen Gesamthaushalts,10,true
71211,Statistik über das Steueraufkommen,10,true
