EVAS ;Beschreibung
496;Länderstatistiken im Bereich Verkehr und Nachrichtenübermittlung
497;Länderstatistiken im Bereich Finanz- und andere Dienstleistungen
499;Geschäftsstatistiken des Statistischen Bundesamtes im Bereich Wirtschaftsbereiche
511;Intrahandel
512;Extrahandel
519;Sonstiges im Bereich Außenhandel
521;Unternehmensregister
522;Arbeitsstätten
523;Gewerbeanzeigen, -aufsicht
524;Insolvenzen
525;Kostenstrukturen
529;Sonstiges im Bereich Unternehmen und Arbeitsstätten
531;Handwerkszählungen
532;Handwerksberichterstattungen
539;Sonstiges im Bereich Handwerk und handwerksähnliches Gewerbe
591;Länderstatistiken im Bereich Außenhandel
592;Länderstatistiken im Bereich Unternehmen und Arbeitsstätten
593;Länderstatistiken im Bereich Handwerk und handwerksähnliches Gewerbe
599;Geschäftsstatistiken des Bundes im Bereich Außenhandel, Unternehmen, Handwerk
611;Verbraucherpreise
612;Agrarpreise, Erzeugerpreise gewerblicher Produkte, Großhandelspreise, Baupreise
613;Preise für Dienstleistungen
614;Außenhandelspreise
615;Bodenmarkt
616;Preisvergleiche mit dem Ausland
619;Sonstiges im Bereich Preise
621;Verdienststrukturen
622;Tarifverdienste
623;Laufende Verdiensterhebungen
624;Arbeitskosten
629;Sonstiges im Bereich Verdienste, Arbeitskosten
631;Laufende Wirtschaftsrechnungen
632;Einkommens- und Verbrauchsstichproben
633;Dauerstichprobe befragungsbereiter Haushalte
634;Gemeinschaftsstatistik über Einkommen und Lebensbedingungen (EU-SILC)
635;Überschuldungsstatistik
639;Sonstiges im Bereich Wirtschaftsrechnungen privater Haushalte
691;Länderstatistiken im Bereich Preise
692;Länderstatistiken im Bereich Löhne und Gehälter, Arbeitskosten
693;Länderstatistiken im Bereich Freiwillige Erhebungen zu Einkommen, Ausgaben und Lebensbedingungen privater Haushalte
699;Geschäftsstatistiken des Bundes im Bereich Preise, Verdienste, Einkommen und Verbrauch
711;Haushaltsansätze
712;Steuerhaushalt
713;Schulden
714;Finanzvermögen
715;Vierteljährliche Kassenergebnisse
716;Vierteljahresdaten der kaufmännisch buchenden öffentlichen Fonds, Einrichtungen und Unternehmen
717;Rechnungsergebnisse
718;Jahresabschlüsse der kaufmännisch buchenden öffentlichen Fonds, Einrichtungen und Unternehmen
719;Sonstiges im Bereich Öffentliche Finanzen
721;Jahres- und Vierteljahresabschlüsse - (Stillgelegt am 01.05.2015)
722;Schulden - (Stillgelegt am 01.05.2015)
723;Vermögen - (Stillgelegt am 01.05.2015)
729;Sonstiges im Bereich Öffentliche Fonds, Einrichtungen und Unternehmen mit eigenem Rechnungswesen - (Stillgelegt am 01.05.2015)
731;Lohn- und Einkommensteuer
732;Körperschaftsteuer
733;Umsatzsteuer
734;Verbrauchsteuern - (Stillgelegt am 01.01.2015)
735;Gewerbesteuern
736;Steuern vom Vermögen
737;Steuerverteilung
739;Sonstiges im Bereich Steuern
741;Personalstand
742;Versorgungsempfänger
749;Sonstiges im Bereich Personal im öffentlichen Dienst
751;Berichtskreismanagement Finanz- und Personalstatistiken
791;Länderstatistiken im Bereich Öffentliche Finanzen
792;Länderstatistiken im Bereich Öffentliche Fonds, Einrichtungen und Unternehmen mit eigenem Rechnungswesen - (Stillgelegt am 01.01.2015)
793;Länderstatistiken im Bereich Steuern
794;Länderstatistiken im Bereich Personal im öffentlichen Dienst
799;Geschäftsstatistiken des Bundes im Bereich Öffentliche Finanzen, Steuern und Personal im öffentlichen Dienst
811;Entstehung und Verwendung des Inlandsprodukts
812;Verteilung und Umverteilung des Nationaleinkommens
813;Einnahmen und Ausgaben des Staats
814;Außenwirtschaft
815;Input-Output-Rechnung
816;Vermögensrechnung
817;Satellitensysteme
819;Sonstiges im Bereich VGR des Bundes
821;Entstehungsrechnung
822;Verteilungsrechnung Inländerkonzept
823;Verteilungsrechnung Inlandskonzept
824;Umverteilungsrechnung
825;Verwendungsrechnung
826;VGR-Bezugszahlen
827;Kreisberechnungen
829;Sonstiges im Bereich VGR der Länder
831;Zahlungsbilanz
832;Auslandsvermögen
839;Sonstiges im Bereich Zahlungsbilanz, Auslandsvermögen
841;Bankstatistische Gesamtrechnungen
842;Statistiken der Deutschen Bundesbank
843;Zinsen und Währungen
849;Sonstiges im Bereich Geld, Zinsen, Währungen
851;Material- und Energieflussrechnungen
852;Nutzung von Fläche und Raum
853;Umweltzustand
854;Maßnahmen des Umweltschutzes
855;Vermeidungskosten
859;Sonstiges im Bereich UGR
861;Material- und Energieflussrechungen
862;Nutzung von Fläche und Raum
863;Umweltzustand
864;Maßnahmen des Umweltschutzes
865;Vermeidungskosten
869;Sonstiges im Bereich UGR der Länder
871;Sozioökonomisches Berichtssystem
892;Länderstatistiken im Bereich VGR der Länder
893;Länderstatistiken im Bereich Zahlungsbilanz, Auslandsvermögen
894;Länderstatistiken im Bereich Geld, Zinsen, Währungen
895;Länderstatistiken im Bereich UGR
899;Geschäftsstatistiken des Bundes im Bereich Gesamtrechnungen
921;Ausgaben und Einnahmen für Wissenschaft und Forschung
922;Nationale und internationale Berichterstattung über Forschung und Entwicklung
929;Sonstiges im Bereich Forschung und Entwicklung
931;Test der Teilnahmebereitschaft
941;EVAS-Nummern für die Altdateninventur
951;Register
991;Länderstatistiken im Bereich Auslandsstatistische Informationen
992;Länderstatistiken im Bereich Forschung und Entwicklung
993;Indikatoren zur nachhaltigen Entwicklung
999;Geschäftsstatistiken des Bundes in Sonderbereichen
